,Name_2022,Website_Times,Region,National Rank 2022,Regional Rank 2022,Classification Size 2022,Classification Focus 2022,Classification Res 2022,Classification Age 2022,Academic Reputation Score 2022,Academic Reputation Rank 2022,Employer Reputation Score 2022,Employer Reputation Rank 2022,Faculty Student Score 2022,Faculty Student Rank 2022,Citations per Faculty Score 2022,Citations per Faculty Rank 2022,International Faculty Score 2022,International Faculty Rank 2022,International Students Score 2022,International Students Rank 2022,Overall 2022,Location,National Rank 2023,Regional Rank 2023,World Rank 2023,...6,Classification Size 2023,Classification Focus 2023,Classification Res 2023,Classification Age 2023,Academic Reputation Score 2023,Academic Reputation Rank 2023,Employer Reputation Score 2023,Employer Reputation Rank 2023,Faculty Student Score 2023,Faculty Student Rank 2023,Citations per Faculty Score 2023,Citations per Faculty Rank 2023,International Faculty Score 2023,International Faculty Rank 2023,International Students Score 2023,International Students Rank 2023,International Research Network Score 2023,International Research Network Rank 2023,Employment Outcomes Score 2023,Employment Outcomes Rank 2023,Overall 2023,Ranks.x,Country.x,Classification Size 2021,Classification Focus 2021,Classification Res 2021,Classification Age 2021,Academic Reputation Score 2021,Academic Reputation Rank 2021,Employer Reputation Score 2021,Employer Reputation Rank 2021,Faculty Student Score 2021,Faculty Student Rank 2021,Citations per Faculty Score 2021,Citations per Faculty Rank 2021,International Faculty Score 2021,International Faculty Rank 2021,International Students Score 2021,International Students Rank 2021,Overall 2021,Ranks.y,Country.y,Classification Size 2020,Classification Focus 2020,Classification Res 2020,Classification Age 2020,Academic Reputation Score 2020,Academic Reputation Rank 2020,Employer Reputation Score 2020,Employer Reputation Rank 2020,Faculty Student Score 2020,Faculty Student Rank 2020,Citations per Faculty Score 2020,Citations per Faculty Rank 2020,International Faculty Score 2020,International Faculty Rank 2020,International Students Score 2020,International Students Rank 2020,Overall 2020
1,Massachusetts Institute of Technology (MIT),Times,United States,1,1,M,CO,VH,5,100,5,100,4,100,12,100,6,100,45,91.4,105,100,United States,NA,NA,1,1,M,CO,VH,5,100,5,100,4,100,14,100,5,100,54,90,109,96.1,58,100,3,100,1,United States,M,CO,VH,5,100,5,100,4,100,15,99.1,8,100,43,91.9,101,100,1,United States,M,CO,VH,5,100,5,100,4,100,15,99.8,7,100,43,94.1,87,100
2,University of Oxford,Times,United Kingdom,1,1,L,FC,VH,5,100,3,100,3,100,5,96,34,99.5,83,98.5,52,99.5,United Kingdom,NA,NA,4,4,L,FC,VH,5,100,3,100,3,100,8,90,64,98.8,101,98.4,54,99.9,3,100,7,98.4,5,United Kingdom,L,FC,VH,5,100,3,100,3,100,8,81.3,44,99.4,80,98.3,55,96.7,4,United Kingdom,L,FC,VH,5,100,3,100,3,100,8,84.7,45,99.7,64,98.5,50,97.2
3,Stanford University,Times,United States,2,2,L,FC,VH,5,100,4,100,5,100,9,99.9,10,99.8,73,67,208,98.7,United States,NA,NA,3,3,L,FC,VH,5,100,4,100,5,100,6,99.9,9,99.8,74,60.3,235,96.3,55,100,2,98.5,2,United States,L,FC,VH,5,100,4,100,5,100,13,98.1,13,99.7,68,63.6,220,98.4,2,United States,L,FC,VH,5,100,4,100,5,100,12,98.6,13,99.8,62,67.7,196,98.4
4,University of Cambridge,Times,United Kingdom,2,2,L,FC,VH,5,100,2,100,2,100,10,92.1,48,100,57,97.7,64,98.7,United Kingdom,NA,NA,2,2,L,FC,VH,5,100,2,100,2,100,11,92.3,55,100,60,96.3,70,99.5,6,100,9,98.8,7,United Kingdom,L,FC,VH,5,100,2,100,2,100,12,69.2,85,100,54,97.4,63,94.3,7,United Kingdom,L,FC,VH,5,100,2,100,2,100,10,74.2,74,100,58,97.6,58,95
5,Harvard University,Times,United States,3,3,L,FC,VH,5,100,1,100,1,99.1,37,100,3,84.2,188,70.1,196,98,United States,NA,NA,5,5,L,FC,VH,5,100,1,100,1,99.4,35,100,2,76.9,228,66.9,212,100,1,100,1,97.6,3,United States,L,FC,VH,5,100,1,100,1,98.6,43,99.1,9,85.2,195,69.9,195,97.9,3,United States,L,FC,VH,5,100,1,100,1,98.7,40,99.6,8,86.3,186,62.2,221,97.4
6,California Institute of Technology (Caltech),Times,United States,4,4,S,CO,VH,5,96.7,29,89.9,52,100,2,100,7,99.4,89,87.7,125,97.4,United States,NA,NA,6=,6,S,CO,VH,5,96.5,28,87.1,58,100,3,100,4,99.8,75,85.1,134,73,425,98.8,24,97,4,United States,S,CO,VH,5,97,29,82.8,69,100,4,99.9,6,100,51,88.2,119,97,5,United States,S,CO,VH,5,97.8,23,81.2,74,100,4,100,4,99.4,72,87.3,121,96.9
7,Imperial College London,Times,United Kingdom,3,3,L,FC,VH,5,98.4,22,99.8,9,99.8,27,88.1,64,100,47,100,10,97.3,United Kingdom,NA,NA,6=,6,L,FC,VH,5,98.3,24,99.7,10,99.5,34,86.5,84,100,55,100,13,98.1,20,88.8,76,97,8,United Kingdom,L,FC,VH,5,98.5,21,99.8,9,99.9,30,68.6,88,100,47,100,14,93.6,9,United Kingdom,L,FC,VH,5,98.6,21,99.9,9,99.8,30,72.1,85,100,46,100,14,94.1
8,ETH Zurich - Swiss Federal Institute of Technology,Times,Switzerland,1,4=,L,CO,VH,5,98.7,18,95.3,30,80.4,134,99.8,15,100,22,98.2,58,95.4,Switzerland,NA,NA,9,9,L,CO,VH,5,98.6,18,91.3,51,74.2,164,99.2,18,100,24,98,59,96.2,56,91.1,64,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,UCL,Times,United Kingdom,4,4=,XL,FC,VH,5,99.4,14,98.9,13,99,38,78,108,99.5,85,100,12,95.4,United Kingdom,NA,NA,8,8,XL,FC,VH,5,99.4,14,98.6,16,97.6,51,77,119,99.2,87,100,14,100,2,90.3,71,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,University of Chicago,Times,United States,5,5,L,FC,VH,5,99.2,16,93.5,39,95.5,57,90.6,49,71.9,223,84.9,140,94.5,United States,NA,NA,10,10,L,FC,VH,5,99.2,16,92.2,46,92.9,71,86.8,79,81.6,214,76,176,89.6,170,98.2,30,93.2,9,United States,L,FC,VH,5,99.4,14,91.3,43,94.4,70,86.3,34,67.1,269,82.6,150,93.1,10,United States,L,FC,VH,5,99.5,13,93.7,37,96.5,54,78.5,60,70.2,249,81,143,92
